text,category
spent 13907 on maintenance fee,Utilities
"paid for soap, amount was 929",Personal Care
"paid for pet food, amount was 805",Other
internet bill cost 2549,Utilities
bought skincare products for 5335,Shopping
purchase of home decor - 7960,Shopping
purchase of exam fee - 5539,Education
recharged my video game with 639,Entertainment
"paid for amusement park entry, amount was 576",Entertainment
breakfast cost 311,Food
monthly magazine subscription payment of 567,Other
vitamins cost 881,Health
coursera specialization cost 6956,Education
monthly house rent payment of 2923,Utilities
monthly stationery payment of 12290,Education
purchase of ice cream - 430,Food
bought birthday gift for 850,Gifts & Donations
spent 4267 on vitamins,Health
just got car service for 2787,Transport
"paid for lunch, amount was 732",Food
just got movie tickets for 1000 inr,Entertainment
purchase of maintenance fee - 13626,Utilities
recharged my health insurance premium with 2847,Health
purchase of home decor - 857,Shopping
"paid for vitamins, amount was 1554",Health
paid 990 inr for doctor's visit fee,Health
bought cosmetics for 143 rupees,Personal Care
bought birthday gift for 513 inr,Gifts & Donations
bought restaurant meal for 656 rupees,Food
"paid for sports match ticket, amount was 947",Entertainment
bought protein powder for 463,Personal Care
bought bowling with friends for 476 inr,Entertainment
bought video game for 862 inr,Entertainment
bought courier charges for 925 rupees,Other
just got band-aids for 674,Health
just got exam fee for 13878 rupees,Education
gift 5980 rupees,Shopping
paid 931 for gym membership,Personal Care
monthly postage stamp payment of 158,Other
purchase of dental checkup - 4292,Health
"paid for lunch, amount was 264",Food
bought gift for anniversary for 806 inr,Gifts & Donations
spent 577 on coffee,Food
furniture 13419,Shopping
paid 2444 inr for doctor's visit fee,Health
recharged my donation to charity with 631,Gifts & Donations
recharged my Netflix subscription with 664,Entertainment
just got courier charges for 885 rs,Other
purchase of auto rickshaw fare - 5781,Transport
breakfast cost 456,Food
just got health insurance premium for 110,Health
bought Spotify premium for 314 inr,Entertainment
spent 730 on bank fee,Other
"paid for magazine subscription, amount was 258",Other
monthly phone recharge payment of 261,Utilities
"paid for exam fee, amount was 421",Education
paid 904 inr for bowling with friends,Entertainment
bowling with friends 785 rupees,Entertainment
purchase of udemy course - 4363,Education
udemy course cost 14339,Education
watch 5782 inr,Shopping
spent 865 on medicines,Health
spent 295 on Netflix subscription,Entertainment
spent 72 on dinner with friends,Food
recharged my fruits with 238,Food
recharged my amusement park entry with 637,Entertainment
paid 750 rupees for birthday gift,Gifts & Donations
monthly software license payment of 403,Other
just got salon visit for 148 rs,Personal Care
paid 3861 for lab test,Health
bought breakfast for 575 rupees,Food
monthly video game payment of 108,Entertainment
recharged my magazine subscription with 93,Other
just got taxi fare for 3796 rs,Transport
monthly skincare products payment of 13203,Shopping
monthly amusement park entry payment of 383,Entertainment
phone recharge 13850,Utilities
recharged my donation to charity with 668,Gifts & Donations
recharged my udemy course with 3144,Education
bought contribution to fundraiser for 925 inr,Gifts & Donations
just got health insurance premium for 1459 rupees,Health
Spotify premium cost 240,Entertainment
cosmetics cost 900,Personal Care
hospital bill 172,Health
"paid for flight ticket, amount was 2090",Transport
monthly dinner with friends payment of 589,Food
monthly contribution to fundraiser payment of 355,Gifts & Donations
monthly cosmetics payment of 329,Personal Care
Netflix subscription cost 214,Entertainment
bought skincare products for 13156 rupees,Shopping
bought bowling with friends for 152,Entertainment
purchase of postage stamp - 373,Other
movie tickets 238 rs,Entertainment
just got sports match ticket for 253 rupees,Entertainment
recharged my udemy course with 1535,Education
bowling with friends cost 630,Entertainment
doctor's visit fee cost 4247,Health
paid 162 inr for wedding present,Gifts & Donations
purchase of pastries - 191,Food
"paid for postage stamp, amount was 849",Other
spent 984 on Spotify premium,Entertainment
monthly video game payment of 322,Entertainment
"paid for udemy course, amount was 13593",Education
purchase of internet bill - 1705,Utilities
spent 5142 on house rent,Utilities
flight ticket 6705 rupees,Transport
just got headphones for 10868 inr,Shopping
paid 810 rs for sports match ticket,Entertainment
recharged my textbooks with 1381,Education
wedding present 84,Gifts & Donations
just got breakfast for 207 inr,Food
recharged my video game with 298,Entertainment
bought protein powder for 382 inr,Personal Care
recharged my running shoes with 12431,Shopping
bought magazine subscription for 817 inr,Other
just got bowling with friends for 443,Entertainment
monthly contribution to fundraiser payment of 696,Gifts & Donations
"paid for online course fee, amount was 13693",Education
bought bus ticket for 12848 rupees,Transport
monthly donation to charity payment of 387,Gifts & Donations
bought wedding present for 817 rs,Gifts & Donations
just got coursera specialization for 7443 rs,Education
purchase of gym membership - 885,Personal Care
monthly phone recharge payment of 5538,Utilities
gift for anniversary 816,Gifts & Donations
purchase of car service - 559,Transport
spent 624 on breakfast,Food
recharged my udemy course with 621,Education
just got birthday gift for 348 rupees,Gifts & Donations
purchase of subscription service - 4936,Utilities
purchase of pet food - 129,Other
monthly software license payment of 76,Other
bought coffee for 204 inr,Food
recharged my gym membership with 151,Personal Care
bowling with friends cost 352,Entertainment
dental checkup 3036 rupees,Health
spent 8394 on taxi fare,Transport
monthly band-aids payment of 4762,Health
monthly amusement park entry payment of 614,Entertainment
just got snacks for 862 rupees,Food
purchase of bank fee - 628,Other
purchase of gas cylinder - 13721,Utilities
monthly exam fee payment of 9230,Education
monthly electricity bill payment of 10403,Utilities
coursera specialization 11741 inr,Education
monthly dental checkup payment of 3425,Health
paid 922 rupees for video game,Entertainment
paid 5970 inr for pen and notebooks,Education
paid 14476 for online course fee,Education
monthly headphones payment of 12773,Shopping
paid 5693 inr for fuel for car,Transport
purchase of watch - 13239,Shopping
recharged my pet food with 375,Other
home repair 703 rs,Other
purchase of jeans - 4831,Shopping
restaurant meal cost 697,Food
paid 7895 inr for metro card recharge,Transport
soap 534 rs,Personal Care
fuel for car 11660,Transport
spent 5484 on pen and notebooks,Education
"paid for donation to charity, amount was 416",Gifts & Donations
monthly vitamins payment of 1741,Health
bought electricity bill for 5231 rs,Utilities
"paid for internet bill, amount was 4218",Utilities
Netflix subscription cost 916,Entertainment
paid 984 rs for courier charges,Other
monthly shampoo payment of 761,Personal Care
paid 13030 inr for coursera specialization,Education
bought DTH recharge for 6250 inr,Utilities
"paid for exam fee, amount was 12727",Education
cosmetics cost 241,Personal Care
monthly gym membership payment of 663,Personal Care
paid 260 rupees for phone recharge,Utilities
recharged my groceries with 584,Food
spent 6675 on electricity bill,Utilities
monthly stationery payment of 5240,Education
recharged my doctor's visit fee with 2771,Health
recharged my pen and notebooks with 242,Education
stationery 13341 rs,Education
purchase of doctor's visit fee - 984,Health
purchase of auto rickshaw fare - 6523,Transport
recharged my shampoo with 440,Personal Care
just got lunch for 67 inr,Food
monthly sunglasses payment of 13947,Shopping
bought Spotify premium for 467 rupees,Entertainment
recharged my snacks with 298,Food
spent 620 on salon visit,Personal Care
donation to charity cost 189,Gifts & Donations
bank fee 228 inr,Other
bought video game for 938,Entertainment
purchase of electricity bill - 12227,Utilities
purchase of running shoes - 10432,Shopping
doctor's visit fee 3695 rupees,Health
monthly salon visit payment of 480,Personal Care
monthly running shoes payment of 1687,Shopping
"paid for new shirt, amount was 10969",Shopping
coursera specialization cost 1181,Education
"paid for home repair, amount was 342",Other
purchase of doctor's visit fee - 4658,Health
paid 5605 for new shirt,Shopping
purchase of soap - 336,Personal Care
spent 520 on gym membership,Personal Care
just got amusement park entry for 968 rupees,Entertainment
spent 5592 on gas cylinder,Utilities
recharged my parking fee with 10312,Transport
purchase of video game - 386,Entertainment
purchase of dental checkup - 2310,Health
spent 9473 on parking fee,Transport
paid 2481 for vitamins,Health
purchase of medicines - 2284,Health
just got laundry service for 803 inr,Other
"paid for soap, amount was 190",Personal Care
bought groceries for 298 rupees,Food
medicines cost 4622,Health
"paid for doctor's visit fee, amount was 1773",Health
"paid for pet food, amount was 433",Other
"paid for home repair, amount was 253",Other
paid 858 rupees for coffee,Food
just got soap for 73 rs,Personal Care
paid 250 rs for gift for anniversary,Gifts & Donations
bought coffee for 196 rs,Food
monthly doctor's visit fee payment of 4476,Health
spent 7397 on phone recharge,Utilities
recharged my DTH recharge with 4006,Utilities
recharged my internet bill with 3102,Utilities
bought internet bill for 10670 rs,Utilities
bought coffee for 732 inr,Food
paid 958 rupees for contribution to fundraiser,Gifts & Donations
bought broadband payment for 5552,Utilities
spent 563 on contribution to fundraiser,Gifts & Donations
recharged my broadband payment with 1438,Utilities
paid 829 for magazine subscription,Other
purchase of snacks - 354,Food
monthly auto rickshaw fare payment of 9388,Transport
purchase of bowling with friends - 726,Entertainment
paid 10121 rupees for taxi fare,Transport
donation to charity 857 rs,Gifts & Donations
recharged my car service with 1725,Transport
bought wedding present for 873 rupees,Gifts & Donations
recharged my new shirt with 10916,Shopping
purchase of postage stamp - 339,Other
purchase of bank fee - 746,Other
spent 4808 on lab test,Health
donation to charity 110 inr,Gifts & Donations
recharged my amusement park entry with 165,Entertainment
"paid for birthday gift, amount was 742",Gifts & Donations
just got pet food for 704 rs,Other
spent 756 on coffee,Food
just got gift for 11783,Shopping
spent 2080 on car service,Transport
purchase of takeout food - 433,Food
spent 161 on wedding present,Gifts & Donations
just got house rent for 5280 rs,Utilities
paid 2664 rupees for dental checkup,Health
paid 901 rs for bowling with friends,Entertainment
spent 170 on home repair,Other
just got home repair for 613 inr,Other
just got lab test for 3846 rupees,Health
purchase of contribution to fundraiser - 841,Gifts & Donations
"paid for lab test, amount was 1492",Health
paid 13082 for pen and notebooks,Education
recharged my contribution to fundraiser with 969,Gifts & Donations
spent 7093 on auto rickshaw fare,Transport
"paid for subscription service, amount was 4048",Utilities
bought phone recharge for 7785 inr,Utilities
"paid for parking fee, amount was 10275",Transport
furniture 8927 rs,Shopping
bought fruits for 591 rs,Food
purchase of hospital bill - 2349,Health
recharged my donation to charity with 432,Gifts & Donations
just got gas cylinder for 3082 inr,Utilities
spent 255 on fruits,Food
bought restaurant meal for 847,Food
pastries cost 843,Food
spent 522 on dinner with friends,Food
DTH recharge cost 1595,Utilities
spent 750 on gift for anniversary,Gifts & Donations
purchase of watch - 1194,Shopping
paid 407 for shampoo,Personal Care
subscription service cost 11617,Utilities
paid 418 inr for movie tickets,Entertainment
paid 699 rupees for software license,Other
paid 4917 rs for band-aids,Health
recharged my salon visit with 277,Personal Care
train ticket cost 8657,Transport
DTH recharge cost 696,Utilities
spent 742 on gym membership,Personal Care
laundry service cost 804,Other
purchase of auto rickshaw fare - 3465,Transport
pizza 822 inr,Food
"paid for auto rickshaw fare, amount was 2262",Transport
wedding present 558,Gifts & Donations
bought health insurance premium for 3681,Health
recharged my jeans with 9271,Shopping
"paid for coursera specialization, amount was 879",Education
flight ticket cost 5276,Transport
paid 642 rs for bus ticket,Transport
"paid for bus ticket, amount was 3874",Transport
bought new shirt for 14529 inr,Shopping
bought software license for 657 rupees,Other
bought furniture for 7565 rupees,Shopping
monthly soap payment of 266,Personal Care
just got cosmetics for 724,Personal Care
"paid for online course fee, amount was 8570",Education
just got pet food for 787 rupees,Other
maintenance fee 6773 rs,Utilities
protein powder 728 rs,Personal Care
spent 72 on pastries,Food
health insurance premium cost 574,Health
paid 7347 rs for pen and notebooks,Education
paid 3887 inr for doctor's visit fee,Health
just got donation to charity for 57 inr,Gifts & Donations
"paid for postage stamp, amount was 952",Other
recharged my vitamins with 4127,Health
"paid for fuel for car, amount was 11717",Transport
"paid for car service, amount was 11864",Transport
spent 989 on coffee,Food
recharged my laundry service with 417,Other
purchase of health insurance premium - 1463,Health
spent 2432 on health insurance premium,Health
"paid for magazine subscription, amount was 274",Other
monthly mobile phone payment of 11157,Shopping
purchase of new shirt - 14445,Shopping
paid 9232 for bus ticket,Transport
purchase of soap - 420,Personal Care
bought hospital bill for 1696 rupees,Health
purchase of soap - 139,Personal Care
just got dental checkup for 238 inr,Health
bought uber ride for 5703 inr,Transport
purchase of vitamins - 1742,Health
parking fee cost 4914,Transport
just got pizza for 741 rupees,Food
donation to charity 241 rupees,Gifts & Donations
bought internet bill for 13869 rs,Utilities
monthly dinner with friends payment of 818,Food
courier charges cost 146,Other
spent 13618 on skincare products,Shopping
purchase of birthday gift - 645,Gifts & Donations
purchase of birthday gift - 738,Gifts & Donations
bought movie tickets for 992 rupees,Entertainment
"paid for exam fee, amount was 275",Education
monthly haircut payment of 539,Personal Care
monthly taxi fare payment of 7344,Transport
haircut cost 459,Personal Care
recharged my Netflix subscription with 108,Entertainment
paid 7773 rs for coursera specialization,Education
recharged my pastries with 754,Food
monthly contribution to fundraiser payment of 586,Gifts & Donations
paid 5875 for maintenance fee,Utilities
monthly shampoo payment of 247,Personal Care
recharged my uber ride with 11277,Transport
spent 3696 on medicines,Health
doctor's visit fee 2560 inr,Health
monthly coursera specialization payment of 14097,Education
paid 3634 for auto rickshaw fare,Transport
just got pen and notebooks for 14064 rs,Education
monthly movie tickets payment of 454,Entertainment
monthly gift for anniversary payment of 608,Gifts & Donations
purchase of wedding present - 969,Gifts & Donations
purchase of phone recharge - 5392,Utilities
spent 1771 on doctor's visit fee,Health
"paid for salon visit, amount was 291",Personal Care
paid 785 inr for dinner with friends,Food
bought online course fee for 6919,Education
"paid for concert tickets, amount was 462",Entertainment
"paid for postage stamp, amount was 834",Other
bought gift for anniversary for 119 rs,Gifts & Donations
bought exam fee for 8593 rupees,Education
just got snacks for 657 rs,Food
just got movie tickets for 734 rupees,Entertainment
bought ice cream for 280 rupees,Food
bought sunglasses for 697,Shopping
mobile phone 4161 rupees,Shopping
just got book for 11840,Shopping
"paid for book, amount was 12442",Shopping
home repair cost 608,Other
purchase of protein powder - 450,Personal Care
just got auto rickshaw fare for 12894,Transport
spent 509 on groceries,Food
recharged my groceries with 739,Food
spent 983 on haircut,Personal Care
monthly breakfast payment of 211,Food
purchase of pastries - 60,Food
parking fee 10371,Transport
"paid for electricity bill, amount was 2650",Utilities
just got maintenance fee for 5829 inr,Utilities
purchase of cosmetics - 868,Personal Care
"paid for cosmetics, amount was 698",Personal Care
monthly online course fee payment of 12671,Education
magazine subscription cost 962,Other
monthly magazine subscription payment of 922,Other
"paid for groceries, amount was 528",Food
bought courier charges for 726,Other
bought salon visit for 505 inr,Personal Care
"paid for gym membership, amount was 413",Personal Care
sunglasses cost 12663,Shopping
flight ticket 391,Transport
watch cost 2376,Shopping
postage stamp 249 rs,Other
purchase of haircut - 469,Personal Care
monthly pen and notebooks payment of 14383,Education
monthly medicines payment of 4663,Health
bought lab test for 2048 rs,Health
laundry service 935 inr,Other
